x,y
4.672489505455018843e+00,-6.686851726342979418e-03
5.112492365049824627e+00,-4.284217585599492395e-03
5.554659745262611636e+00,-2.007338312761675070e-03
5.998848859997494287e+00,0.000000000000000000e+00
6.444916923158523048e+00,1.594011260511507544e-03
6.892721148649748386e+00,2.630909376630796714e-03
7.342118750375270508e+00,2.966908256169631386e-03
7.792966942239111461e+00,2.458221806978855284e-03
8.245122938145357239e+00,9.610639368879958511e-04
8.698443951998051205e+00,-1.668351446266314042e-03
9.152787197701293564e+00,-5.573810434654546953e-03
9.608009889159134786e+00,-1.089909912043296458e-02
1.006396924027563244e+01,-1.778800359577203949e-02
1.052052246495485832e+01,-2.638430995283513880e-02
1.097752677710084868e+01,-3.683180428378562965e-02
1.143483939061770371e+01,-4.927427268078687916e-02
1.189231751940947390e+01,-6.385550123600580719e-02
1.234981837738023813e+01,-8.071927604161288627e-02
1.280719917843402555e+01,-1.000093831897608254e-01
1.326431713647494348e+01,-1.218696087726236499e-01
1.372102946540701396e+01,-1.464437388823647268e-01
1.417719337913433719e+01,-1.738755596111474233e-01
1.463266609156095654e+01,-2.043088570511315538e-01
1.508730481659094380e+01,-2.378874172944911436e-01
1.554096676812837785e+01,-2.747550264333860071e-01
1.599350916007728074e+01,-3.150554705599759586e-01
1.644478920634175978e+01,-3.589325357664385763e-01
1.689466412082586544e+01,-4.065300081449265690e-01
1.734299111743365529e+01,-4.579916737876139621e-01
1.778962741006920822e+01,-5.134613187866605699e-01
1.823443021263656760e+01,-5.730827292342262069e-01
1.867725673903981232e+01,-6.369996912224848984e-01
1.911796420318299994e+01,-7.053559908435929060e-01
1.955641584846993197e+01,-7.782673028472331112e-01
1.999249994961083132e+01,-8.557325984993475743e-01
2.042611127604963883e+01,-9.377205686623710790e-01
2.085714459724216852e+01,-1.024199904143252127e+00
2.128549468264431255e+01,-1.115139295748946324e+00
2.171105630171189915e+01,-1.210507434286423489e+00
2.213372422390079919e+01,-1.310273010562625018e+00
2.255339321866684799e+01,-1.414404715384510069e+00
2.296995805546588798e+01,-1.522871239559037804e+00
2.338331350375379714e+01,-1.635641273893167380e+00
2.379335433298642499e+01,-1.752683509193854405e+00
2.419997531261962109e+01,-1.873966636268047381e+00
2.460307121210920656e+01,-1.999459345922698361e+00
2.500253680091106645e+01,-2.129130328964780716e+00
2.539826684848105742e+01,-2.262948276201242948e+00
2.579015612427500770e+01,-2.400881878439033557e+00
2.617809939774878103e+01,-2.542899826485113479e+00
2.656199143835823406e+01,-2.688970811146452533e+00
2.694172701555919502e+01,-2.839063523229981456e+00
2.731720089880753477e+01,-2.993146653542666513e+00
2.768830785755911705e+01,-3.151188892891470417e+00
2.805494266126975589e+01,-3.313158932083341668e+00
2.841700007939535055e+01,-3.479025461925242979e+00
2.877437488139172217e+01,-3.648757173224121075e+00
2.912696183671472028e+01,-3.822322756786942222e+00
2.947465571482020863e+01,-3.999690903420653143e+00
2.981735128516404387e+01,-4.180830303932218328e+00
3.015494331720206844e+01,-4.365709649128596936e+00
3.048732658039011767e+01,-4.554297629816725035e+00
3.081439584418407662e+01,-4.746562936803577770e+00
3.113604587803977353e+01,-4.942474260896098315e+00
3.145217145141307924e+01,-5.142000292901258263e+00
3.176266733375982909e+01,-5.345109723626000786e+00
3.206742829453588683e+01,-5.551771243877292150e+00
3.236634910319708069e+01,-5.761953544462070198e+00
3.265932452919928153e+01,-5.975625316187304747e+00
3.294624934199835309e+01,-6.192755249859954958e+00
3.322701831105013071e+01,-6.413312036286969331e+00
3.350152620581047103e+01,-6.637264366275310579e+00
3.376966779573520938e+01,-6.864580930631921873e+00
3.403133785028021663e+01,-7.095230420163771257e+00
3.428643113890134231e+01,-7.329181525677812559e+00
3.453484243105445017e+01,-7.566402937981008492e+00
3.477646649619535424e+01,-7.806863347880291570e+00
3.501119810377993957e+01,-8.050531446182642270e+00
3.523893202326404150e+01,-8.297375923695000211e+00
3.545956302410351668e+01,-8.547365471224335209e+00
3.567298587575423596e+01,-8.800468779577595768e+00
3.587909534767202047e+01,-9.056654539561741046e+00
3.607778620931273394e+01,-9.315891441983723098e+00
3.626895323013223305e+01,-9.578148177650504635e+00
3.645249117958636020e+01,-9.843393437369025278e+00
3.662829482713097917e+01,-1.011159591194626195e+01
3.679625894222193949e+01,-1.038272429218915960e+01
3.695627829431507649e+01,-1.065674726890467561e+01
3.710824765286626814e+01,-1.093363353289976736e+01
3.725206178733132845e+01,-1.121335177498138513e+01
3.738761546716615669e+01,-1.149587068595649164e+01
3.751480346182657399e+01,-1.178115895663204782e+01
3.763352054076843700e+01,-1.206918527781499861e+01
3.774366147344760236e+01,-1.235991834031230496e+01
3.784512102931991251e+01,-1.265332683493092247e+01
3.793779397784123830e+01,-1.294937945247779609e+01
3.802157508846741507e+01,-1.324804488375990275e+01
3.809635913065429236e+01,-1.354929181958419271e+01
3.816204087385772681e+01,-1.385308895075761271e+01
3.821851508753357507e+01,-1.415940496808712368e+01
3.826567654113769379e+01,-1.446820856237967590e+01
3.830342000412591830e+01,-1.477946842444223741e+01
3.833164024595410524e+01,-1.509315324508176026e+01
3.835023203607811126e+01,-1.540923171510519474e+01
3.835912104647698584e+01,-1.572765430247899232e+01
3.835839190877892690e+01,-1.604827773860584017e+01
3.834818022251268133e+01,-1.637092869973999498e+01
3.832862161058010031e+01,-1.669543384835284172e+01
3.829985169588304927e+01,-1.702161984691576890e+01
3.826200610132336521e+01,-1.734931335790017215e+01
3.821522044980294908e+01,-1.767834104377743643e+01
3.815963036422360233e+01,-1.800852956701896801e+01
3.809537146748722591e+01,-1.833970559009615187e+01
3.802257938249564972e+01,-1.867169577548038362e+01
3.794138973215075339e+01,-1.900432678564304467e+01
3.785193813935438811e+01,-1.933742528305554131e+01
3.775436022700840510e+01,-1.967081793018924785e+01
3.764879161801465557e+01,-2.000433138951557410e+01
3.753536793527501914e+01,-2.033779232350590860e+01
3.741422480169133280e+01,-2.067102739463163630e+01
3.728549784016547619e+01,-2.100386326536415993e+01
3.714932267359929341e+01,-2.133612659817485735e+01
3.700583492489463566e+01,-2.166764405553513484e+01
3.685517021695336837e+01,-2.199824229991638447e+01
3.669746417267734273e+01,-2.232774799378998409e+01
3.653285241496842417e+01,-2.265598779962734710e+01
3.636147056672847810e+01,-2.298278837989984424e+01
3.618345425085934153e+01,-2.330797639707886759e+01
3.599893909026288696e+01,-2.363137851363584119e+01
3.580806070784097983e+01,-2.395282139204211802e+01
3.561095472649545712e+01,-2.427213169476910792e+01
3.540775676912817005e+01,-2.458913608428821718e+01
3.519860245864101245e+01,-2.490366122307080587e+01
3.498362741793580710e+01,-2.521553377358830517e+01
3.476296726991444785e+01,-2.552458039831206804e+01
3.453675763747876459e+01,-2.583062775971350078e+01
3.430513414353060142e+01,-2.613350252026402032e+01
3.406823241097185928e+01,-2.643303134243497965e+01
3.382618806270434675e+01,-2.672904088869780992e+01
3.357913672162996477e+01,-2.702135782152386412e+01
3.332721401065056455e+01,-2.730980880338454853e+01
3.307055555266796176e+01,-2.759422049675128363e+01
3.280929697058406447e+01,-2.787441956409541888e+01
3.254357388730070255e+01,-2.815023266788838185e+01
3.227352192571974854e+01,-2.842148647060153621e+01
3.199927670874305363e+01,-2.868800763470628468e+01
3.172097385927246194e+01,-2.894962282267404063e+01
3.143874900020986018e+01,-2.920615869697615352e+01
3.115273775445708537e+01,-2.945744192008405804e+01
3.086307574491600292e+01,-2.970329915446911428e+01
3.056989859448847113e+01,-2.994355706260273564e+01
3.027334192607632701e+01,-3.017804230695630707e+01
2.997354136258147150e+01,-3.040658155000122065e+01
2.967063252690570607e+01,-3.062900145420887199e+01
