x,y
4.650844166255922119e+00,-2.898108893752038284e-02
4.767855377484472967e+00,-3.210496163272935632e-02
4.884761130795283179e+00,-3.538313179061347569e-02
5.001564737123359805e+00,-3.881818531256797655e-02
5.118269507403766738e+00,-4.241270810000941083e-02
5.234878752571475502e+00,-4.616928605432590871e-02
5.351395783561535779e+00,-5.009050507692336396e-02
5.467823911308983043e+00,-5.417895106922188120e-02
5.584166446748788815e+00,-5.843720993259182706e-02
5.700426700816031200e+00,-6.286786756846751700e-02
5.816607984445703039e+00,-6.747350987823708124e-02
5.932713608572832698e+00,-7.225672276329575539e-02
6.048746884132455648e+00,-7.722009212506719678e-02
6.164711122059543413e+00,-8.236620386492177204e-02
6.280609633289188309e+00,-8.769764388429734936e-02
6.396445728756347648e+00,-9.321699808456784808e-02
6.512222719396099535e+00,-9.892685236715692554e-02
6.627943916143436809e+00,-1.048297926334598174e-01
6.743612629933387836e+00,-1.109284047848753119e-01
6.859232171700952563e+00,-1.172252747228021974e-01
6.974805852381187776e+00,-1.237229883486570259e-01
7.090336982909107633e+00,-1.304241315638350329e-01
7.205828874219712077e+00,-1.373312902697314541e-01
7.321284837248043686e+00,-1.444470503677592887e-01
7.436708182929116617e+00,-1.517739977593137723e-01
7.552102222197952131e+00,-1.593147183458043514e-01
7.667470265989578593e+00,-1.670717980286298143e-01
7.782815625239017265e+00,-1.750478227091960548e-01
7.898141610881282304e+00,-1.832453782888983085e-01
8.013451533851409181e+00,-1.916670506691495746e-01
8.128748705084390735e+00,-2.003154257513344305e-01
8.244036435515297967e+00,-2.091930894368836391e-01
8.359318036079102399e+00,-2.183026276271711197e-01
8.474596817710860819e+00,-2.276466262236169769e-01
8.589876091345594489e+00,-2.372276711276235517e-01
8.705159167918274932e+00,-2.470483482405754216e-01
8.820449358363987358e+00,-2.571112434638926914e-01
8.935749973617731712e+00,-2.674189426989812546e-01
9.051064324614536361e+00,-2.779740318472327942e-01
9.166395722289387038e+00,-2.887790968100460987e-01
9.281747477577354744e+00,-2.998367234888377197e-01
9.397122901413432317e+00,-3.111494977849993404e-01
9.512525304732641018e+00,-3.227200055999333017e-01
9.627957998470030532e+00,-3.345508328350526028e-01
9.743424293560593696e+00,-3.466445653917524794e-01
9.858927500939351773e+00,-3.590037891714281670e-01
9.974470931541347340e+00,-3.716310900754962177e-01
1.009005789630159455e+01,-3.845290540053554196e-01
1.020569170615512178e+01,-3.977002668624081139e-01
1.032137567203691475e+01,-4.111473145480459834e-01
1.043711310488206578e+01,-4.248727829636926856e-01
1.055290731562550377e+01,-4.388792580107185870e-01
1.066876161520233524e+01,-4.531693255905615558e-01
1.078467931454755302e+01,-4.677455716046132750e-01
1.090066372459614996e+01,-4.826105819542583220e-01
1.101671815628318285e+01,-4.977669425409132486e-01
1.113284592054365874e+01,-5.132172392659839488e-01
1.124905032831261309e+01,-5.289640580308727635e-01
1.136533469052505296e+01,-5.450099847369749284e-01
1.148170231811601383e+01,-5.613576052856998899e-01
1.159815652202051695e+01,-5.780095055784464364e-01
1.171470061317356226e+01,-5.949682715166098035e-01
1.183133790251019946e+01,-6.122364890016136485e-01
1.194807170096540716e+01,-6.298167439348247854e-01
1.206490531947427769e+01,-6.477116222176881877e-01
1.218184206897179678e+01,-6.659237097515884329e-01
1.229888526039295016e+01,-6.844555924379136513e-01
1.241603820467280883e+01,-7.033098561780839475e-01
1.253330421274638695e+01,-7.224890868734981098e-01
1.265068659554869157e+01,-7.419958704255549264e-01
1.276818866401474395e+01,-7.618327927356531859e-01
1.288581372907958666e+01,-7.820024397052094400e-01
1.300356510167823387e+01,-8.025073972356224772e-01
1.312144609274568552e+01,-8.233502512282768748e-01
1.323946001321698418e+01,-8.445335875845962903e-01
1.335761017402717243e+01,-8.660599922059830647e-01
1.347589988611122180e+01,-8.879320509938217754e-01
1.359433246040418908e+01,-9.101523498495289743e-01
1.371291120784108841e+01,-9.327234746745070026e-01
1.383163943935693396e+01,-9.556480113701510959e-01
1.395052046588677541e+01,-9.789285458378742533e-01
1.406955759836558428e+01,-1.002567663979057500e+00
1.418875414772846000e+01,-1.026567951695145808e+00
1.430811342491033145e+01,-1.050931994887488230e+00
1.442763874084629094e+01,-1.075662379457526185e+00
1.454733340647133133e+01,-1.100761691306651358e+00
1.466720073272048808e+01,-1.126232516336262535e+00
1.478724403052876823e+01,-1.152077440447765611e+00
1.490746661083118596e+01,-1.178299049542555821e+00
1.502787178456279804e+01,-1.204899929522049717e+00
1.514846286265859021e+01,-1.231882666287635431e+00
1.526924315605361926e+01,-1.259249845740725959e+00
1.539021597568287092e+01,-1.287004053782720092e+00
1.551138463248140198e+01,-1.315147876315023723e+00
1.563275243738419817e+01,-1.343683899239024981e+00
1.575432270132630919e+01,-1.372614708456147525e+00
1.587609873524275628e+01,-1.401942889867783038e+00
1.599808385006855360e+01,-1.431671029375333859e+00
1.612028135673871532e+01,-1.461801712880202331e+00
1.624269456618825558e+01,-1.492337526283787241e+00
1.636532678935224538e+01,-1.523281055487508695e+00
1.648818133716565626e+01,-1.554634886392747717e+00
1.661126152056352367e+01,-1.586401604900917306e+00
1.673457065048089731e+01,-1.618583796913426909e+00
1.685811203785272738e+01,-1.651184048331646892e+00
1.698188899361411330e+01,-1.684204945057018676e+00
1.710590482870005502e+01,-1.717649072990933945e+00
1.723016285404555958e+01,-1.751519018034787933e+00
1.735466638058565536e+01,-1.785817366089986535e+00
1.747941871925536361e+01,-1.820546703057928539e+00
1.760442318098971981e+01,-1.855709614840026944e+00
1.772968307672371679e+01,-1.891308687337669880e+00
1.785520171739241135e+01,-1.927346506452270347e+00
1.798098241393080343e+01,-1.963825658085230685e+00
1.810702847727390719e+01,-2.000748728137942578e+00
1.823334321835676519e+01,-2.038118302511822577e+00
1.835992994811439161e+01,-2.075936967108265918e+00
1.848679197748180059e+01,-2.114207307828671389e+00
1.861392733412312595e+01,-2.152932480262187198e+00
1.874128713141107028e+01,-2.192120698700595227e+00
1.886879792676971590e+01,-2.231782825269380766e+00
1.899638606243357231e+01,-2.271929745297637027e+00
